id,trigger,conditions,script,text,options,notes
# default entity interaction,,,,,,
defaultOpenDialog,OpenInteractionDialog,,"ShowDefaultVisual
PrintDescription 3
SetShortcut defaultLeave ""ESCAPE""",,defaultLeave:떠난다,
defaultLeave,DialogOptionSelected,$option == defaultLeave,DismissDialog,,,
# warning beacons,,,,,,
beaconOpenDialog,OpenInteractionDialog,$tag:warning_beacon,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","방치된 자동 경고 신호기가 정격 주파수를 통해 왜곡된 울부짖음을 발하고 있습니다. 여기에 무슨 메시지가 기록되어 있었건 간에, 지금은 손상되어 알아들을 수 없습니다.",beaconLeave:떠난다,
beaconOpenDialogRemnantsDestroyed,OpenInteractionDialog,"$tag:warning_beacon
$remnantDestroyed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","이 자동 경고 신호기는 메시지를 반복적으로 송출합니다.

""위험: 이 행성계에는 활성 상태일 수 있는 무인화 무기체계가 존재함. 미허가된 접근은 헤게모니 우주군 칙령 224.34에 의해 금지되어 있음.""",beaconLeave:떠난다,
beaconOpenDialogRemnantsSuppressed,OpenInteractionDialog,"$tag:warning_beacon
$remnantSuppressed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","이 자동 경고 신호기는 메시지를 반복적으로 송출합니다.

""위험: 이 행성계에는 활성 상태일 수 있는 무인화 무기체계가 존재함. 미허가된 접근은 헤게모니 우주군 칙령 224.34에 의해 금지되어 있음.""",beaconLeave:떠난다,
beaconOpenDialogRemnantsResurgent,OpenInteractionDialog,"$tag:warning_beacon
$remnantResurgent","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","이 자동 경고 신호기는 메시지를 반복적으로 송출합니다.

""위험: 이 행성계에는 활성 상태일 수 있는 무인화 무기체계가 존재함. 미허가된 접근은 헤게모니 우주군 칙령 224.34에 의해 금지되어 있음.""",beaconLeave:떠난다,
beaconOpenDialogDaedaleon,OpenInteractionDialog,"$tag:warning_beacon
$daedaleon","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","이 자동 경고 신호기는 메시지를 반복적으로 송출합니다.

""이 행성은 과학기술의 죄로 오염되었고 그 가증스러운 모습으로 의의 길에서 벗어난 이의 말로를 증언하노라. 경고하노니 접근하지 말라. 이를 가벼이 여기는 자는 육체의 타락과 러드 기사단의 정의의 심판을 받게 되리니.""",beaconLeave:떠난다,
beaconLeave,DialogOptionSelected,$option == beaconLeave,DismissDialog,,,
,,,,,,
# gate interactions,,,,,,
gateOpenDialog,OpenInteractionDialog,$tag:gate,"ShowDefaultVisual
PrintDescription 1
AddText ""이 관문은 비활성 상태입니다.""
SetShortcut gateLeave ""ESCAPE""",,"gateFlyThrough:관문을 통과한다
gateLeave:떠난다",
gateFlyThrough,DialogOptionSelected,$option == gateFlyThrough,"AddText ""당신은 함대를 이끌고 죽은 관문을 지납니다. 통과하는 동안, 함교의 승무원들은 유난히 조용합니다.""
AddText ""아무 것도 일어나지 않습니다.""
SetShortcut gateLeave ""ESCAPE""",,gateLeave:떠난다,
gateLeave,DialogOptionSelected,$option == gateLeave,DismissDialog,,,
# stellar mirror and shade interactions,,,,,,
stellarMirrorOpenDialog,OpenInteractionDialog,$tag:stellar_mirror,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarMirrorLeave ""ESCAPE""",,stellarMirrorLeave:Leave,
stellarMirrorLeave,DialogOptionSelected,$option == stellarMirrorLeave,DismissDialog,,,
stellarShadeDialog,OpenInteractionDialog,$tag:stellar_shade,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarShadeLeave ""ESCAPE""",,stellarShadeLeave:Leave,
stellarShadeLeave,DialogOptionSelected,$option == stellarShadeLeave,DismissDialog,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
#dialogTopLevelMenuOptions,PopulateOptions,$menuState == fleetConvMain,,,"#demand:Demand...
#offer:Offer...
#ask about:Ask about...
cutCommLink:통신을 끊는다",
,,,,,,
,,,,,,
# survey interactions,,,,,,
surveyStar,OpenInteractionDialog,$tag:star score:1000,,당신은 $entityName에 접근합니다.,10:surveyLeave:떠난다,
surveyOpen,OpenInteractionDialog,$market.isPlanetConditionMarketOnly,"ShowDefaultVisual
PrintDescription 3
FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo",당신은 $entityName에 접근합니다.,,
