name,id,tags,rarity,base price,stack size,cargo space,icon,sound id,sound id drop,plugin,plugin params,desc,order
Base ModSpec,modspec,modspec,,1,1000,1,graphics/icons/cargo/modspec2.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.ModSpecItemPlugin,,"A collection of notes, guidelines, and practical examples that enable one to adapt and apply this modification to various hulls.",50
,,,,,,,,,,,,,
Corrupted Nanoforge,corrupted_nanoforge,nanoforge,,50000,1000,1,graphics/icons/cargo/nanoforge_corrupted.png,ui_nano_pickup,ui_corrupted_nano_drop,com.fs.starfarer.api.campaign.impl.items.NanoforgeItemPlugin,,"A powerful and versatile manufacturing ""black box"", capable of building itself out to an industrial scale, given the necessary raw materials and human assistance.

This one has seen better days, and is incapable of reliably producing defect-free components. Nonetheless, having access to a nanoforge at all is a step up as far as starship construction goes.

Must be installed in Heavy Industry to be utilized.",100
Decayed Nanoforge,decayed_nanoforge,nanoforge,,100000,1000,1,graphics/icons/cargo/nanoforge_decayed.png,ui_nano_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.NanoforgeItemPlugin,,Unused.,110
Pristine Nanoforge,pristine_nanoforge,nanoforge,,500000,1000,1,graphics/icons/cargo/nanoforge_pristine.png,ui_nano_pickup,ui_pristine_nano_drop,com.fs.starfarer.api.campaign.impl.items.NanoforgeItemPlugin,,"A powerful and versatile manufacturing ""black box"", capable of building itself out to an industrial scale, given the necessary raw materials and human assistance.

This one is good as new, at least according to its on-board diagnostics. In practice, getting defect-free starship components is still a challenge given the overall state of manufacturing in the Sector, but this nanoforge is as good as it gets.

Must be installed in Heavy Industry to be utilized.",120
Synchrotron Core,synchrotron,,,500000,1000,1,graphics/icons/cargo/synchrotron_core.png,ui_synchrotron_pickup,ui_synchrotron_drop,com.fs.starfarer.api.campaign.impl.items.SynchrotronItemPlugin,,"A specialized nanoforge, loaded with firmware and seed nano-tech to build itself out into a Synchrotron that allows industrial-scale antimatter production.

Must be installed in a Fuel Production facility to be utilized.",130
,,,,,,,,,,,,,
Low Tech Blueprint Package,low_tech_package,package_bp,,20000,1000,1,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,lowtech_bp,"Enables heavy industry to construct the more common ship hulls, weapons, and fighter LPCs from the ""low tech"" school of design.",200
Midline Blueprint Package,midline_package,package_bp,,25000,1000,1,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,midline_bp,"Enables heavy industry to construct the more common ship hulls, weapons, and fighter LPCs from the ""midline"" school of design.",210
High Tech Blueprint Package,high_tech_package,package_bp,,30000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,hightech_bp,"Enables heavy industry to construct the more common ship hulls, weapons, and fighter LPCs from the ""high tech"" school of design.",220
Missile Blueprint Package,missile_package,package_bp,,20000,1000,1,graphics/icons/cargo/blueprint_missile.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,missile_bp,Enables heavy industry to construct a range of the more common missile weapons.,230
Pirate Blueprint Package,pirate_package,package_bp,,15000,1000,1,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,pirate_bp,"A collection of hacks, after-market modification specs, and partially successful attempts at corrupted blueprint recovery. Enables heavy industry to construct the low quality but combat-capable hulls more commonly used by pirates and other undesirables.",240
Luddic Path Blueprint Package,LP_package,package_bp,,18000,1000,1,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LP_bp,A collection of hacks and after-market modification specs that enables heavy industry to construct the hulls more commonly used by members of the Luddic Path.,250
Luddic Church Blueprint Package,LC_package,package_bp,,15000,1000,1,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LC_bp,"A collection of hacks and after-market modification specs that enables heavy industry to construct hulls bearing Luddic Church markings. Since the modifications are cosmetic in nature, the hulls produced are otherwise pristine.",260
