id,name,order,description,combat officer,admiral,admin,tags,icon,
combat_endurance,Combat Endurance,0,"전투 중의 환경은 극단적이지만, 노련한 장교는 경험과 계획을 통해 함선과 승무원의 전투능력을 더 오래 지속시킬 수 있습니다.",TRUE,,,,graphics/icons/skills/combat_endurance2.png,
missile_specialization,Missile Specialization,5,미사일 시스템은 매우 복잡합니다. 전문가는 안전 설정을 우회하여 상당한 성능 증가를 얻을 수 있습니다.,TRUE,,,,graphics/icons/skills/missile_specialization.png,
ordnance_expert,Ordnance Expert,10,무기의 특징과 관리 절차에 대한 자세한 지식은 전투성능 향상에 적용될 수 있습니다.,TRUE,,,,graphics/icons/skills/ordnance_expert.png,
target_analysis,Target Analysis,20,"센서와 조준 모듈, 그리고 전술분석 시스템으로부터 나오는 데이터와 권장사항들을 제대로 해석하는 데는 지식만큼이나 직감도 중요합니다.",TRUE,,,,graphics/icons/skills/target_analysis.png,
damage_control,Damage Control,30,함내의 장비를 제대로 고정하고 안전 모드를 설정해두는 것으로 전투 중의 피해와 승무원 사상자를 제한할 수 있습니다.,TRUE,,,,graphics/icons/skills/damage_control.png,
impact_mitigation,Impact Mitigation,35,"함선의 장갑은 복잡한 구조물이며, 문외한이 생각하는 것보다 훨씬 많은 능동적 구성요소들을 포함합니다. 적절한 활용은 방호력을 대폭 향상시킬 수 있습니다.",TRUE,,,,graphics/icons/skills/impact_mitigation.png,"
"
defensive_systems,Defensive Systems,37.5,함선의 동력계와 방어 시스템 사이의 상호작용에 대한 자세한 지식을 통해 후자의 성능을 질적으로 향상시킬 수 있습니다.,TRUE,,,,graphics/icons/skills/defensive_systems.png,
advanced_countermeasures,Advanced Countermeasures,39,세부적인 점검과 정기적인 관리는 함내의 다양한 방어 시스템이 제 역할을 우수하게 해낼 수 있도록 돕습니다.,TRUE,,,,graphics/icons/skills/advanced_countermeasures.png,
evasive_action,Evasive Actions,40,때로는 공격을 피할 수는 없지만 어디에 맞을지는 결정할 수 있습니다. 숙련된 조종사는 피해의 여파를 최소화할 수 있습니다.,TRUE,,,,graphics/icons/skills/evasive_maneuvering.png,
helmsmanship,Helmsmanship,50,"같은 생산라인의 엔진이라도 실제 성능에는 차이가 존재하며, 안전장치는 가장 낮은 품질을 상정하고 있습니다. 각 엔진의 특징을 직감적으로 이해하는 기술자는 그 출력을 진정한 한계치까지 끌어낼 수 있습니다.",TRUE,,,,graphics/icons/skills/helmsmanship.png,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
command_and_control,Command & Control,90,"전술 교범과 전투 보고서, 그리고 Hard-won experience - as well as poring over tactical manuals and battle reports - allow the commander to formulate and carry out more advanced battle plans.",,,,,graphics/icons/skills/advanced_tactics.png,
officer_management,장교 관리,100,"Introducing a new officer to a command hierarchy is always a risk - personalities clash, and authority may be challenged. A successful fleet commander knows not to let the number of officers they command exceed their ability.",,TRUE,,,graphics/icons/skills/leadership2.png,
fleet_logistics,함대 병참,110,"Making sure supplies and other materiel get where they need to be is not a glorious task. It is, however, critical - both in dealing with emergencies and ensuring smooth day-to-day operations.",,,TRUE,,graphics/icons/skills/fleet_logistics.png,
coordinated_maneuvers,Coordinated Maneuvers,120,Deploying nav buoys at suitable locations in the battlespace allows more exact tuning of drive fields and facilitates faster movement. Sharing navigation data between all ships in real-time further aids that process.,,TRUE,,,graphics/icons/skills/coordinated_maneuvers.png,
,,,,,,,,,
fighter_doctrine,함재기 교리,130,"Carriers and fighter wings have a very different set of requirements from regular ships, and an experienced fleet commander can make a critical difference by providing proper support.",,TRUE,,carrier,graphics/icons/skills/fighter_doctrine.png,
carrier_command,항모 지휘,135,"Fighter wings and their crews have very specialized requirements, and an experienced captain can make a critical difference by providing proper support.",TRUE,,,carrier,graphics/icons/skills/carrier_command.png,
wing_commander,비행대 지휘,140,"Rigorous training drills, select personnel, and camaraderie forged through hardship can turn a rag-tag bunch of fighter pilots into an efficient, elite-level force.",TRUE,,,carrier,graphics/icons/skills/wing_commander.png,
strike_commander,폭격대 지휘,145,A carrier captain's experience in the unique requirements of strike craft ordnance and tactics can turn the bombers under their command into a threat not to be ignored.,TRUE,,,carrier,graphics/icons/skills/strike_commander.png,
,,,,,,,,,
gunnery_implants,포술 임플란트,150,"Over time, the augmented reality presented by the implants becomes more and more difficult to distinguish from normal sensory input. Dedicated gunners often feel more kinship with their ship than they do with their crewmates.",TRUE,,,,graphics/icons/skills/gunnery_implants.png,
