name,id,planetary,decivRemove,script,desc,icon,order
도시화,urbanized_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.UrbanizedPolity,"빽빽한 세계적 인구 중심지입니다. 쌓아올려진 주거 단지, 상업 구역과 구획화된 작업장에서 모든 종류의 인간 군상들이 생활하고 일하다 죽어갑니다.",graphics/icons/markets/urbanized_polity.png,130
산업화,industrial_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.IndustrialPolity,"번화한 산업 중심지입니다. 지역 정부는 산업의 활성화를 장려하는 정책을 펼치지만, 때로는 그 때문에 다른 문제점들이 생겨나기도 합니다.",graphics/icons/markets/urbanized_polity.png,130
전원 지방,rural_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RuralPolity,"A sparsely populated polity of homesteads and insular townships. In these troubled times, outsiders are generally treated with suspicion.",graphics/icons/markets/rural_polity.png,130
대규모 난민,large_refugee_population,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LargeRefugeePopulation,"Desperate refugees fleeing some disaster have ended up here. Refugees live at the bottom of society with little opportunity for betterment, straining domestic infrastructure living in tense semi-legal status. Reduced overall production. More prospective crew members are likely to be found among those trying to escape the squalid living conditions.",graphics/icons/markets/refugee_population.png,140
볼턴 랍스터 양식장,volturnian_lobster_pens,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,A mix of several Old Earth species and a little imagination produced this creature which grows wild in the crushing depths of Volturn's sea-floor. The flavor is said to be exceptional.,graphics/icons/markets/lobster_pens.png,137
악습 수요,vice_demand,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ViceDemand,The demand for vice goods is unusually high here.,graphics/icons/markets/vice_demand.png,145
조직 범죄,organized_crime,,TRUE,com.fs.starfarer.api.impl.campaign.econ.OrganizedCrime,Criminal activity produces drugs and harvested organs. Increases demand for hand weapons (by both various crime bosses and local citizenry) and marines (by the local authorities).,graphics/icons/markets/organized_crime.png,148
변경 지역,frontier,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Frontier,"Far from the cosmopolitan centers of population, mere survival, self-reliance, and only-the-necessities are the rules of the frontier. Increased demand for weapons and supplies, reduced demand for luxury goods.",graphics/icons/markets/frontier.png,130
선박 해체 중심지,shipbreaking_center,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShipbreakingCenter,"A major center of shipbreaking in this region of the Sector, hulks are consigned to scrapping here by the navies of major factions and many other clients from among the Sector core worlds.",graphics/icons/markets/shipbreaking.png,360
무역 중심지,trade_center,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeCenter,"A major center of trade, merchant vessels from across the Sector dock here expecting to find a buyer for their goods- and to find something to buy in turn for a nice profit.",graphics/icons/markets/trade_center.png,280
문명 붕괴,decivilized,,,com.fs.starfarer.api.impl.campaign.econ.Decivilized,"There is no stable ruling polity here. Civilization is collapsed and current population is effectively unknown, though groups of survivors, bandits, and looters can be detected.",graphics/icons/markets/decivilized.png,130
문명 재건,decivilized_subpop,,TRUE,com.fs.starfarer.api.impl.campaign.econ.DecivilizedSubpop,"Civilization has been brough back to parts of $market, often at the point of a gauss rifle. However, an effectively unknown population of survivors, bandits, and looters still remains on the fringes.",graphics/icons/markets/decivilized.png,130
버려진 정류장,abandoned_station,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AbandonedStation,This station is abandoned.,graphics/icons/markets/abandoned.png,130
가내 수공업,cottage_industry,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CottageIndustry,"$market has a substantial base of low-technology, labour-intensive light industry. Increases demand for simple organic fuels and materials, provides an inefficient albeit charmingly hand-crafted supply of domestic goods.",graphics/icons/markets/cottage_industry.png,230
Outpost,outpost,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Outpost,"$market is run much like a garrison or a large spaceship, with a rigid official command structure. This improves stability, but does require some personnel to see to internal security matters.",graphics/icons/markets/outpost.png,130
러드교도 다수,luddic_majority,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LuddicMajority,"Stability is improved if $market is controlled by a Luddic faction, otherwise it is reduced. The ascetic ethos of Luddic theology reduces demand for luxury goods.",graphics/icons/markets/luddic_majority.png,142
기뢰 지대,stealth_minefields,,TRUE,com.fs.starfarer.api.impl.campaign.econ.StealthMinefields,A network of hidden mines provides $market security from meddlesome outsiders. Improves stability.,graphics/icons/markets/stealth_mines.png,510
지역 수도,regional_capital,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RegionalCapital,"A major center of administration, security, and logistics. Improves stability.",graphics/icons/markets/capital.png,500
자유 항구,free_market,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FreeMarket,"The local port authority imposes almost no regulation on what cargo is traded. Immigration controls are likewise relaxed, resulting in a greater in-flow of people, albeit sometimes of a more questionable character. This may cause other factions to view this colony with distrust.",graphics/icons/markets/free_port.png,141
이주 금지,closed_immigration,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ClosedImmigration,"Officially, immigration to $market is not allowed. In practice, this results in slowing overall immigration significantly, and creating room for certain kinds of criminals to operate.",graphics/icons/markets/vice_demand.png,142
,,,,,,,
거주 불가,uninhabitable,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"A barren planet, the surface of $market can not support organic life as we know it, and farming is impossible outside of sealed artificial ecosystems.",graphics/icons/markets/uninhabitable_wide.png,10
얼음 행성,ice,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldIce,"$market's average temperature is far below the freezing point of water and some common terran atmospheric gases fall as snow. The drifts and glaciers of light, volatile elements may be harvested.",graphics/icons/markets/ice_world_wide.png,10
사막 행성,desert,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldDesert,$market: desert planet. A xerophile biosphere maintains an atmosphere breathable with only a light mask. Farming is nearly impossible.,graphics/icons/markets/desert_world_wide.png,10
건조 행성,arid,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldArid,"$market is covered by vast, dry plains and wastes. Water is uncommon and large-scale farming is difficult.",graphics/icons/markets/arid_world_wide.png,10
바다 행성,water,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldWater,The climate of $market is hospitable but farming is limited largely to aquaculture and highly specialized infrastructure is required for any development of habitats and industry.,graphics/icons/markets/water_world_wide.png,10
